TargetUR_x,TargetUR_y,TargetUL_x,TargetUL_y,TargetLR_x,TargetLR_y,TargetLL_x,TargetLL_y,ObstacleUR_x,ObstacleUR_y,ObstacleUL_x,ObstacleUL_y,ObstacleLR_x,ObstacleLR_y,ObstacleLL_x,ObstacleLL_y,ObstacleSizeUR_x,ObstacleSizeUR_y,ObstacleSizeUL_x,ObstacleSizeUL_y,ObstacleSizeLR_x,ObstacleSizeLR_y,ObstacleSizeLL_x,ObstacleSizeLL_y
5.812525,3.854232,-6.657933,3.357189,4.08793,-3.352849,-3.554865,-3.613254,4.246662,2.808285,-4.222453,3.035344,2.82494,-3.667803,-2.132462,-3.794748,0.7398264,1.92793,0.5014445,1.700535,0.7290699,2.92935,2.008946,1.264487
2.63126,1.228428,-3.092384,3.325615,5.800945,-3.040529,-1.620728,-3.716985,1.73762,3.06441,-5.277869,3.253966,1.926059,-2.244775,-4.049668,-2.652851,2.840035,1.022751,2.904378,0.9916427,1.909884,2.064858,0.5535321,2.466617
2.152811,2.658899,-2.812193,2.374115,3.724155,-3.492669,-4.87409,-2.283667,6.02515,3.458868,-1.578945,3.117168,1.687673,-2.368039,-1.443336,-3.361469,2.709907,2.06054,1.206545,1.081326,2.680856,1.127353,2.317945,2.482304
2.266277,2.969416,-3.169001,1.467352,6.113136,-3.870479,-3.035112,-2.575776,1.244251,3.522791,-4.304667,1.012777,2.040568,-2.076934,-1.755118,-3.72436,1.063692,1.123882,0.6134396,0.9781711,2.545866,1.435936,2.37685,2.05063
2.243561,3.113915,-2.364241,2.294477,2.359939,-3.197466,-2.615734,-3.940324,6.05999,3.116048,-3.013585,3.8654,2.015777,-2.063854,-2.758202,-3.737597,0.7784726,2.781228,2.373208,1.967381,2.756982,0.5763428,1.622967,2.421405
1.788532,2.252066,-1.501405,3.195217,4.283944,-2.160465,-4.223844,-2.24284,5.335764,1.869716,-5.025096,2.63375,6.420006,-3.71374,-2.970808,-2.397679,1.355936,0.6566595,2.387772,1.690045,2.912301,0.9793793,1.837815,2.945185
2.675421,1.794187,-3.988985,3.199727,3.788486,-3.264173,-1.10181,-3.88154,2.991576,2.701874,-3.367722,1.803544,1.809999,-3.339085,-5.381335,-2.602632,1.690612,1.302892,1.906612,2.330881,1.452241,1.662573,2.71095,0.6996705
5.771415,2.109475,-1.40535,2.084297,6.268925,-3.221082,-4.288163,-2.226624,5.432264,1.490905,-5.990553,1.411363,2.344734,-3.778666,-2.717309,-2.492145,1.265759,1.802561,1.966485,1.027894,0.7705467,2.340336,1.151869,1.759054
3.369238,2.087364,-2.272671,1.025095,3.126979,-2.041563,-4.584531,-2.088294,2.998602,2.780571,-6.550032,3.654508,3.039465,-2.705342,-4.585372,-3.138268,2.718388,2.420728,1.561078,1.802195,1.909574,2.113916,2.005836,0.873556
5.928655,1.481096,-3.07413,3.642718,1.094377,-3.977084,-6.530588,-3.890063,4.511737,1.705692,-6.285028,3.739892,1.304854,-2.877079,-6.939493,-2.642999,2.501332,2.35693,0.5888973,2.198113,0.5633231,2.834255,1.982079,2.274776
3.431328,3.014045,-1.698156,2.741869,6.043585,-2.465047,-5.284656,-2.877502,2.546703,1.246392,-3.296259,1.611067,5.468891,-2.679239,-4.101636,-3.468535,0.9777136,1.36436,0.7684638,2.481785,1.52851,2.984039,1.649366,0.9524285
1.891641,2.408652,-1.134854,2.815446,3.727205,-2.154193,-2.376347,-2.465242,3.753708,1.466962,-4.202438,1.068701,4.910437,-3.51867,-1.104585,-3.162769,0.6731229,1.261952,0.8149191,1.208682,1.350075,1.603909,2.889943,2.198492
