Trial,RestTime,LeftInput,RightInput,LeftPos_x,LeftPos_y,RightPos_x,RightPos_y,TargetPos_x,TargetPos_y,LineNum,
1,0.01999962,0,0,-7.997651,-0.4553706,7.995761,-0.4094155,0.01558994,-0.805279,0,
1,0.0399996,0,0,-7.997645,-0.4552701,7.995754,-0.4092467,0.01561465,-0.8046981,0,
1,0.05999959,0,0,-7.99764,-0.4551695,7.995747,-0.409078,0.01563945,-0.8041198,0,
1,0.07999957,0,0,-7.997634,-0.4550689,7.99574,-0.4089091,0.01566436,-0.8035441,0,
1,0.09999955,0,0,-7.997628,-0.4549682,7.995733,-0.4087402,0.0156894,-0.8029711,0,
1,0.1199995,0,0,-7.997622,-0.4548674,7.995726,-0.4085712,0.01571458,-0.8024006,0,
1,0.1399995,0,0,-7.997617,-0.4547666,7.995718,-0.4084022,0.01573992,-0.8018329,0,
1,0.1599995,0,0,-7.997611,-0.4546657,7.995711,-0.4082331,0.01576542,-0.8012677,0,
1,0.1799995,0,0,-7.997605,-0.4545648,7.995704,-0.4080639,0.01579108,-0.8007053,0,
1,0.1999995,0,0,-7.9976,-0.4544638,7.995697,-0.4078946,0.01581692,-0.8001454,0,
1,0.2199994,0,0,-7.997594,-0.4543628,7.99569,-0.4077253,0.0158429,-0.7995882,0,
1,0.2399994,0,0,-7.997588,-0.4542617,7.995683,-0.4075558,0.015869,-0.7990336,0,
1,0.2599994,0,0,-7.997582,-0.4541606,7.995676,-0.4073864,0.01589522,-0.7984816,0,
1,0.2799994,0,0,-7.997577,-0.4540595,7.995668,-0.4072168,0.01592153,-0.797932,0,
1,0.2999994,0,0,-7.997571,-0.4539583,7.995661,-0.4070471,0.01594788,-0.797385,0,
1,0.3199993,0,0,-7.997565,-0.453857,7.995654,-0.4068774,0.01597427,-0.7968406,0,
1,0.3399993,0,0,-7.99756,-0.4537557,7.995647,-0.4067076,0.01600064,-0.7962987,0,
1,0.3599993,0,0,-7.997554,-0.4536543,7.99564,-0.4065378,0.01602696,-0.7957594,0,
1,0.3799993,0,0,-7.997548,-0.4535529,7.995633,-0.4063679,0.01605317,-0.7952225,0,
1,0.3999993,0,0,-7.997542,-0.4534514,7.995625,-0.406198,0.01607924,-0.7946879,0,
1,0.4199992,0,0,-7.997537,-0.4533498,7.995618,-0.406028,0.01610513,-0.7941556,0,
1,0.4399992,0,0,-7.997531,-0.4532481,7.995611,-0.405858,0.0161308,-0.7936256,0,
1,0.4599992,0,0,-7.997525,-0.4531463,7.995604,-0.4056879,0.01615621,-0.793098,0,
1,0.4799992,0,0,-7.997519,-0.4530445,7.995597,-0.4055179,0.01618135,-0.7925726,0,
1,0.4999992,0,0,-7.997514,-0.4529425,7.99559,-0.4053478,0.01620613,-0.7920495,0,
1,0.5199991,0,0,-7.997508,-0.4528405,7.995583,-0.4051777,0.01623054,-0.7915286,0,
1,0.5399991,0,0,-7.997502,-0.4527383,7.995575,-0.4050076,0.01625454,-0.7910098,0,
1,0.5599991,0,0,-7.997497,-0.452636,7.995568,-0.4048375,0.01627811,-0.7904932,0,
1,0.5799991,0,0,-7.997491,-0.4525336,7.995561,-0.4046675,0.01630123,-0.7899787,0,
1,0.5999991,-1,0,-7.997485,-0.4524311,7.995554,-0.4044974,0.01632387,-0.7894661,0,
1,0.6199991,-1,0,-7.997479,-0.4622915,7.995547,-0.4043273,0.01634599,-0.7889557,0,
1,0.639999,-1,0,-7.997474,-0.4903935,7.99554,-0.4041573,0.0163676,-0.7884475,0,
1,0.659999,-1,1,-7.997468,-0.533652,7.995533,-0.4039873,0.0163887,-0.7879412,0,
1,0.679999,-1,1,-7.997462,-0.5895027,7.995525,-0.3938543,0.01640927,-0.787437,0,
1,0.699999,-1,1,-7.997457,-0.6558133,7.995518,-0.3654795,0.01642932,-0.7869347,0,
1,0.719999,-1,1,-7.997451,-0.7308116,7.995511,-0.3219479,0.01644886,-0.7864344,0,
1,0.7399989,0,1,-7.997445,-0.8130243,7.995504,-0.265824,0.0164672,-0.7859365,0,
1,0.7599989,0,1,-7.997439,-0.9012269,7.995497,-0.1992399,0.0164755,-0.7854552,0,
1,0.7799989,0,1,-7.997434,-0.9744753,7.99549,-0.1239677,0.01642043,-0.7850822,0,
1,0.7999989,0,1,-7.997428,-1.035293,7.995482,-0.04148083,0.01612494,-0.7851181,0,
1,0.8199989,0,1,-7.997422,-1.085778,7.995475,0.04699635,0.01522127,-0.7861534,0,
1,0.8399988,0,1,-7.997416,-1.127673,7.995468,0.1404461,0.01321924,-0.7888942,0,
1,0.8599988,0,1,-7.997411,-1.16243,7.995461,0.2380225,0.009611235,-0.7941633,0,
1,0.8799988,0,1,-7.997405,-1.191254,7.995454,0.3489859,0.004031621,-0.8024771,0,
1,0.8999988,0,1,-7.997399,-1.215148,7.995447,0.4611044,-0.003553485,-0.8141057,0,
1,0.9199988,0,1,-7.997394,-1.234944,7.99544,0.5741768,-0.01284965,-0.8289406,0,
1,0.9399987,0,1,-7.997388,-1.251335,7.995432,0.6880361,-0.03466651,-0.8516777,0,
1,0.9599987,0,1,-7.997382,-1.264897,7.995425,0.8025438,-0.05633488,-0.8703779,0,
1,0.9799987,0,1,-7.997376,-1.276109,7.995418,0.9175855,-0.07747477,-0.8882411,0,
1,0.9999987,0,1,-7.997371,-1.285368,7.995411,1.033066,-0.09818085,-0.9028231,0,
1,1.019999,0,1,-7.997365,-1.293003,7.995402,1.148906,-0.1185878,-0.9118084,0,
1,1.039999,0,1,-7.997359,-1.299289,7.995394,1.265041,-0.1388644,-0.9134845,0,
1,1.059999,0,1,-7.997354,-1.304453,7.995385,1.381412,-0.1627125,-0.9094246,0,
1,1.079999,0,1,-7.997348,-1.30868,7.995377,1.497974,-0.1941177,-0.9007533,0,
1,1.099999,0,1,-7.997342,-1.312127,7.995368,1.614684,-0.2371348,-0.8928812,0,
1,1.119999,0,1,-7.997336,-1.31492,7.995359,1.731506,-0.2947547,-0.8955085,0,
1,1.139999,0,1,-7.997331,-1.317162,7.995351,1.848409,-0.3554582,-0.8475347,0,
1,1.159999,0,1,-7.997325,-1.318939,7.995341,1.965366,-0.423363,-0.8128902,0,
1,1.179999,0,1,-7.997319,-1.320319,7.995331,2.092315,-0.4993804,-0.8015689,0,
1,1.199999,0,1,-7.997313,-1.321357,7.995321,2.217593,-0.5790727,-0.7381794,0,
1,1.219999,0,1,-7.997308,-1.322097,7.995309,2.341469,-0.6655248,-0.7051045,0,
1,1.239999,0,1,-7.997301,-1.322576,7.995298,2.464171,-0.7551868,-0.6467367,0,
1,1.259999,0,1,-7.997293,-1.322821,7.995285,2.585891,-0.8495628,-0.6001546,0,
1,1.279999,0,1,-7.997286,-1.322855,7.995272,2.706793,-0.9439387,-0.6124325,0,
1,1.299999,0,1,-7.997279,-1.322696,7.995258,2.827015,-1.006682,-0.5211673,0,
1,1.319999,0,1,-7.997272,-1.322361,7.995242,2.946677,-1.068975,-0.4822453,0,
1,1.339998,0,1,-7.997265,-1.321861,7.995226,3.065881,-1.1351,-0.4138413,0,
1,1.359998,0,1,-7.997258,-1.321208,7.995209,3.184711,-1.204451,-0.3563713,0,
1,1.379998,0,1,-7.997251,-1.320412,7.995191,3.303241,-1.28079,-0.324827,0,
1,1.399998,0,1,-7.997242,-1.319482,7.995172,3.421533,-1.362172,-0.2646914,0,
1,1.419998,0,0,-7.997233,-1.318426,7.995152,3.539638,-1.449167,-0.2249493,0,
1,1.439998,0,0,-7.997225,-1.317253,7.995131,3.647636,-1.536162,-0.2440672,0,
1,1.459998,0,0,-7.997216,-1.315973,7.99511,3.737283,-1.596234,-0.1634255,0,
1,1.479998,-1,0,-7.997206,-1.314592,7.995087,3.811693,-1.654485,-0.1371176,0,
1,1.499998,-1,-1,-7.997196,-1.31312,7.995064,3.873452,-1.71855,-0.08676505,0,
1,1.519998,-1,-1,-7.997186,-1.331491,7.995039,3.914748,-1.786305,-0.04703076,0,
1,1.539998,-1,-1,-7.997175,-1.366343,7.995014,3.929086,-1.860659,-0.03582984,0,
1,1.559998,-1,-1,-7.997163,-1.414884,7.994988,3.921036,-1.942078,-0.001253374,0,
1,1.579998,-1,-1,-7.99715,-1.474792,7.994963,3.894393,-2.023496,-0.02553691,0,
1,1.599998,-1,-1,-7.997138,-1.544138,7.994936,3.852311,-2.110965,0.005862025,0,
1,1.619998,-1,-1,-7.997123,-1.62132,7.994908,3.797408,-2.203552,0.02098089,0,
1,1.639998,-1,-1,-7.997109,-1.705006,7.994881,3.731861,-2.296139,-0.02276023,0,
1,1.659998,-1,-1,-7.997093,-1.794089,7.994854,3.657476,-2.400187,-0.0187374,0,
1,1.679998,-1,-1,-7.997076,-1.88765,7.994827,3.575751,-2.503189,-0.07488368,0,
1,1.699998,-1,-1,-7.997057,-1.984925,7.9948,3.487931,-2.621086,-0.1059209,0,
1,1.719998,-1,-1,-7.997037,-2.08528,7.994772,3.395046,-2.746801,-0.1237345,0,
1,1.739998,-1,-1,-7.997017,-2.188186,7.994745,3.297953,-2.871862,-0.2062745,0,
1,1.759998,-1,-1,-7.996996,-2.293206,7.99472,3.19736,-2.996924,-0.3476745,0,
1,1.779998,-1,-1,-7.996973,-2.409939,7.994694,3.083891,-3.132319,-0.4091225,0,
1,1.799998,-1,-1,-7.996949,-2.526434,7.994669,2.969682,-3.2673,-0.5332079,0,
1,1.819998,-1,-1,-7.996923,-2.642725,7.994645,2.854852,-3.402281,-0.7161533,0,
1,1.839998,-1,-1,-7.996896,-2.758841,7.994622,2.7395,-3.548381,-0.8148984,0,
1,1.859998,-1,-1,-7.996869,-2.874806,7.994599,2.623707,-3.694481,-0.9725035,0,
1,1.879998,-1,-1,-7.99684,-2.990644,7.994578,2.50754,-3.840581,-1.188969,0,
1,1.899998,-1,-1,-7.99681,-3.106374,7.994556,2.391053,-3.986681,-1.464294,0,
1,1.919998,-1,-1,-7.99678,-3.222016,7.994536,2.274289,-4.138474,-1.572295,0,
1,1.939998,-1,-1,-7.99675,-3.337588,7.994516,2.157284,-4.288212,-1.765397,0,
1,1.959998,-1,-1,-7.99672,-3.453108,7.994498,2.040066,-4.456544,-1.94114,0,
1,1.979998,-1,-1,-7.99669,-3.568592,7.994479,1.922654,-4.624876,-2.175742,0,
1,1.999998,-1,-1,-7.99666,-3.684057,7.994462,1.805063,-4.793208,-2.469204,0,
1,2.019998,-1,-1,-7.99663,-3.799519,7.994445,1.687301,-4.964945,-2.604816,0,
1,2.039998,0,-1,-7.996601,-3.914992,7.994428,1.569375,-5.13628,-2.8134,0,
1,2.059998,0,-1,-7.996572,-4.020525,7.994411,1.451286,-5.307614,-3.080844,0,
1,2.079998,0,-1,-7.996545,-4.107853,7.994393,1.323071,-5.490086,-3.250031,0,
1,2.099998,0,-1,-7.99652,-4.180071,7.994376,1.206339,-5.678938,-3.390814,0,
1,2.119998,1,-1,-7.996494,-4.239753,7.994359,1.079194,-5.86779,-3.590457,0,
1,2.139998,1,-1,-7.996469,-4.289036,7.994342,0.9533282,-6.056643,-3.848959,0,
1,2.159998,1,-1,-7.996447,-4.309774,7.994325,0.8284963,-6.233457,-3.925005,0,
1,2.179998,1,-1,-7.996425,-4.306814,7.994308,0.7044942,-6.411004,-4.075624,0,
1,2.199998,1,-1,-7.996405,-4.284185,7.99429,0.5811524,-6.565517,-4.095038,0,
1,2.219998,1,-1,-7.996385,-4.245237,7.994273,0.4583309,-6.723748,-4.130387,0,
1,2.239998,1,-1,-7.996367,-4.192751,7.994256,0.3359142,-6.875581,-4.112512,0,
1,2.259998,1,-1,-7.996349,-4.129043,7.994239,0.2138075,-7.024457,-4.07501,0,
1,2.279998,1,-1,-7.996332,-4.056032,7.99422,0.09193338,-7.16863,-4.016801,0,
1,2.299998,1,-1,-7.996316,-3.975317,7.994202,-0.02977056,-7.292201,-3.918665,0,
1,2.319998,1,-1,-7.996301,-3.888222,7.994183,-0.1513542,-7.415772,-3.879389,0,
1,2.339998,1,-1,-7.996285,-3.795851,7.994164,-0.2728567,-7.529102,-3.778683,0,
1,2.359998,1,0,-7.996271,-3.699121,7.994144,-0.3943079,-7.598101,-3.637794,0,
1,2.379997,0,0,-7.996256,-3.588827,7.994124,-0.5256931,-7.667061,-3.518271,0,
1,2.399997,0,0,-7.996242,-3.487211,7.994103,-0.6354539,-7.676777,-3.380443,0,
1,2.419997,0,0,-7.996228,-3.402788,7.994081,-0.727253,-7.677767,-3.281523,0,
1,2.439997,0,0,-7.996213,-3.33267,7.994059,-0.804132,-7.667593,-3.215365,0,
1,2.459997,0,0,-7.996199,-3.274458,7.994036,-0.8686156,-7.644117,-3.1792,0,
1,2.479997,0,0,-7.996185,-3.226153,7.994011,-0.9227987,-7.607121,-3.174605,0,
1,2.499997,0,0,-7.996171,-3.186097,7.993987,-0.9684178,-7.552438,-3.140409,0,
1,2.519997,0,0,-7.996156,-3.152905,7.993961,-1.006911,-7.490503,-3.133037,0,
1,2.539997,0,0,-7.996142,-3.125426,7.993936,-1.03947,-7.421602,-3.104867,0,
1,2.559997,0,0,-7.996128,-3.102701,7.99391,-1.067076,-7.34906,-3.08466,0,
1,2.579997,0,0,-7.996113,-3.083929,7.993883,-1.090541,-7.276814,-3.126188,0,
1,2.599997,0,0,-7.996099,-3.068447,7.993855,-1.110535,-7.220151,-3.087834,0,
1,2.619997,0,0,-7.996085,-3.055703,7.993828,-1.127606,-7.161336,-3.073492,0,
1,2.639997,0,0,-7.99607,-3.045232,7.993803,-1.142207,-7.09491,-3.083014,0,
1,2.659997,0,0,-7.996056,-3.036648,7.993777,-1.154709,-7.022664,-3.07601,0,
1,2.679997,0,0,-7.996042,-3.029631,7.993751,-1.165418,-6.946738,-3.07153,0,
1,2.699997,0,0,-7.996027,-3.02391,7.993727,-1.174584,-6.870928,-3.127102,0,
1,2.719997,0,0,-7.996012,-3.019262,7.993702,-1.182417,-6.834176,-3.090217,0,
1,2.739997,0,0,-7.995996,-3.0155,7.99368,-1.189089,-6.795013,-3.078614,0,
1,2.759997,0,0,-7.99598,-3.012468,7.993657,-1.194746,-6.750467,-3.075016,0,
1,2.779997,0,0,-7.995965,-3.010033,7.993635,-1.199508,-6.702837,-3.068949,0,
1,2.799997,0,0,-7.995949,-3.008085,7.993615,-1.203481,-6.651778,-3.0635,0,
1,2.819997,0,0,-7.995933,-3.006531,7.993595,-1.206755,-6.597182,-3.058028,0,
1,2.839997,0,0,-7.995917,-3.00529,7.993577,-1.209409,-6.542586,-3.111416,0,
1,2.859997,-1,0,-7.995902,-3.004295,7.993558,-1.211514,-6.482091,-3.078388,0,
1,2.879997,-1,0,-7.995884,-3.003489,7.993539,-1.213134,-6.418164,-3.055447,0,
1,2.899997,-1,0,-7.995867,-3.022751,7.993521,-1.214328,-6.368005,-3.025435,0,
1,2.919997,-1,0,-7.99585,-3.058668,7.993504,-1.215151,-6.31867,-3.008274,0,
1,2.939997,-1,0,-7.995833,-3.108404,7.993486,-1.215653,-6.269335,-3.049973,0,
1,2.959997,-1,0,-7.995816,-3.169599,7.993469,-1.21588,-6.258192,-3.034945,0,
1,2.979997,-1,0,-7.995799,-3.240294,7.993452,-1.215875,-6.245187,-3.05091,0,
1,2.999997,-1,0,-7.99578,-3.31886,7.993435,-1.215676,-6.246847,-3.075556,0,
1,3.019997,-1,0,-7.995761,-3.413907,7.993416,-1.215317,-6.248507,-3.159062,0,
1,3.039997,-1,0,-7.995743,-3.512664,7.993398,-1.214828,-6.266712,-3.191203,0,
1,3.059997,0,0,-7.995724,-3.614485,7.993379,-1.214234,-6.27828,-3.251825,0,
1,3.079997,0,0,-7.995706,-3.708873,7.993361,-1.213558,-6.287022,-3.326032,0,
1,3.099997,0,0,-7.995687,-3.787105,7.993342,-1.212819,-6.293414,-3.406687,0,
1,3.119997,0,0,-7.995668,-3.851904,7.993323,-1.212033,-6.297192,-3.487798,0,
1,3.139997,0,0,-7.995651,-3.905536,7.993305,-1.211211,-6.298157,-3.564403,0,
1,3.159997,0,0,-7.995634,-3.949885,7.993286,-1.210366,-6.296212,-3.633768,0,
1,3.179997,0,0,-7.995617,-3.986526,7.993266,-1.209505,-6.291377,-3.695629,0,
1,3.199997,0,0,-7.9956,-4.016765,7.993246,-1.208636,-6.283722,-3.750983,0,
1,3.219997,0,0,-7.995583,-4.041696,7.993226,-1.207764,-6.27331,-3.800945,0,
1,3.239997,0,0,-7.995565,-4.062226,7.993206,-1.206896,-6.266156,-3.84602,0,
1,3.259997,0,0,-7.995548,-4.079115,7.993186,-1.206035,-6.260719,-3.887305,0,
1,3.279997,0,0,-7.995531,-4.092994,7.993166,-1.205186,-6.255441,-3.925329,0,
1,3.299997,0,0,-7.995514,-4.104389,7.993146,-1.204354,-6.249803,-3.960497,0,
1,3.319997,0,0,-7.995497,-4.113737,7.993126,-1.203544,-6.241536,-3.993209,0,
1,3.339997,0,-1,-7.99548,-4.121401,7.993106,-1.202765,-6.23976,-4.02318,0,
1,3.359997,0,-1,-7.995462,-4.127685,7.993086,-1.202025,-6.234665,-4.050855,0,
1,3.379997,0,-1,-7.995445,-4.132839,7.993066,-1.22126,-6.225435,-4.076712,0,
1,3.399997,0,-1,-7.995428,-4.137071,7.993044,-1.257114,-6.210641,-4.101452,0,
1,3.419997,1,-1,-7.995411,-4.140551,7.993023,-1.316762,-6.198883,-4.123199,0,
1,3.439997,1,-1,-7.995394,-4.14342,7.993001,-1.376279,-6.192007,-4.141832,0,
1,3.459997,1,-1,-7.995377,-4.145793,7.99298,-1.455638,-6.188398,-4.157888,0,
1,3.479997,1,-1,-7.995359,-4.127839,7.992957,-1.541547,-6.185987,-4.171778,0,
1,3.499997,0,-1,-7.995342,-4.093002,7.992934,-1.632923,-6.182327,-4.180398,0,
1,3.519997,0,-1,-7.995325,-4.054111,7.992911,-1.728864,-6.174303,-4.177736,0,
1,3.539997,0,-1,-7.995308,-4.021821,7.992887,-1.828619,-6.16256,-4.163419,0,
1,3.559997,0,-1,-7.995289,-3.995023,7.992863,-1.931561,-6.150973,-4.142049,0,
1,3.579997,0,-1,-7.995271,-3.972795,7.992838,-2.037162,-6.140982,-4.116171,0,
1,3.599997,0,-1,-7.995252,-3.954368,7.992814,-2.144982,-6.130208,-4.091345,0,
1,3.619997,0,-1,-7.995234,-3.9391,7.992791,-2.254648,-6.117176,-4.069451,0,
1,3.639997,0,-1,-7.995215,-3.926458,7.992768,-2.365849,-6.101779,-4.050353,0,
1,3.659997,0,-1,-7.995196,-3.915999,7.992745,-2.478321,-6.083957,-4.033949,0,
1,3.679996,0,-1,-7.995178,-3.907353,7.992724,-2.591842,-6.063672,-4.020057,0,
1,3.699996,0,0,-7.995159,-3.900213,7.992702,-2.706226,-6.040891,-4.008573,0,
1,3.719996,0,0,-7.995141,-3.894323,7.992682,-2.821316,-6.015586,-3.999393,0,
1,3.739996,0,0,-7.995122,-3.889472,7.992662,-2.917053,-5.98561,-3.994473,0,
1,3.759996,0,0,-7.995103,-3.885484,7.992644,-2.996696,-5.955635,-4.048412,0,
1,3.779996,0,0,-7.995085,-3.882212,7.992625,-3.062954,-5.930118,-4.016083,0,
1,3.799996,0,0,-7.995066,-3.879536,7.992608,-3.118079,-5.906014,-4.005369,0,
1,3.819996,0,0,-7.995048,-3.877359,7.992591,-3.163941,-5.880138,-4.001556,0,
1,3.839996,0,0,-7.995029,-3.875598,7.992575,-3.202097,-5.851827,-4.002128,0,
1,3.859996,0,0,-7.99501,-3.874187,7.992559,-3.23384,-5.82097,-4.005866,0,
1,3.879996,0,0,-7.994992,-3.87307,7.992544,-3.260244,-5.787019,-4.012828,0,
1,3.899996,0,0,-7.994973,-3.872202,7.992528,-3.282202,-5.745698,-4.027515,0,
1,3.919996,0,0,-7.994955,-3.871545,7.992514,-3.300454,-5.70657,-4.03208,0,
1,3.939996,0,0,-7.994936,-3.871068,7.9925,-3.315615,-5.667442,-4.095505,0,
1,3.959996,0,0,-7.994917,-3.870746,7.992486,-3.328197,-5.623067,-4.086197,0,
