Trial,RestTime,LeftInput,RightInput,LeftPos_x,LeftPos_y,RightPos_x,RightPos_y,TargetPos_x,TargetPos_y,LineNum,
1,0.01999962,0,0,-7.997652,-0.4551928,7.995793,-0.4098615,0.01537958,-0.7938137,7,
1,0.0399996,0,0,-7.997646,-0.4550913,7.995786,-0.4096937,0.01540315,-0.7932346,7,
1,0.05999959,0,0,-7.99764,-0.4549898,7.995779,-0.4095258,0.01542686,-0.7926582,7,
1,0.07999957,0,0,-7.997634,-0.4548882,7.995772,-0.4093578,0.01545074,-0.7920845,7,
1,0.09999955,0,0,-7.997629,-0.4547866,7.995765,-0.4091897,0.0154748,-0.7915135,7,
1,0.1199995,0,0,-7.997623,-0.4546849,7.995758,-0.4090215,0.01549906,-0.7909451,7,
1,0.1399995,0,0,-7.997617,-0.4545832,7.99575,-0.4088533,0.01552355,-0.7903793,7,
1,0.1599995,0,0,-7.997612,-0.4544814,7.995743,-0.408685,0.01554827,-0.7898163,7,
1,0.1799995,0,0,-7.997606,-0.4543796,7.995736,-0.4085166,0.01557322,-0.7892557,7,
1,0.1999995,0,0,-7.9976,-0.4542777,7.995729,-0.4083481,0.01559841,-0.788698,7,
1,0.2199994,0,0,-7.997594,-0.4541758,7.995722,-0.4081795,0.01562379,-0.7881427,7,
1,0.2399994,0,0,-7.997589,-0.4540739,7.995715,-0.4080108,0.01564935,-0.7875901,7,
1,0.2599994,0,0,-7.997583,-0.453972,7.995708,-0.407842,0.01567507,-0.7870402,7,
1,0.2799994,0,0,-7.997577,-0.45387,7.9957,-0.4076732,0.01570094,-0.7864927,7,
1,0.2999994,0,0,-7.997571,-0.453768,7.995693,-0.4075043,0.0157269,-0.7859477,7,
1,0.3199993,0,0,-7.997566,-0.4536659,7.995686,-0.4073353,0.01575292,-0.7854054,7,
1,0.3399993,0,0,-7.99756,-0.4535637,7.995679,-0.4071662,0.01577895,-0.7848655,7,
1,0.3599993,0,0,-7.997554,-0.4534616,7.995672,-0.4069971,0.01580497,-0.784328,7,
1,0.3799993,0,0,-7.997549,-0.4533593,7.995665,-0.4068279,0.0158309,-0.7837929,7,
1,0.3999993,0,0,-7.997543,-0.453257,7.995657,-0.4066587,0.0158567,-0.7832602,7,
1,0.4199992,0,0,-7.997537,-0.4531546,7.99565,-0.4064894,0.01588234,-0.7827298,7,
1,0.4399992,0,0,-7.997531,-0.4530522,7.995643,-0.40632,0.01590776,-0.7822016,7,
1,0.4599992,0,0,-7.997526,-0.4529496,7.995636,-0.4061507,0.0159329,-0.7816758,7,
1,0.4799992,0,0,-7.99752,-0.452847,7.995629,-0.4059813,0.01595775,-0.7811522,7,
1,0.4999992,0,0,-7.997514,-0.4527442,7.995622,-0.4058119,0.01598224,-0.7806309,7,
1,0.5199991,0,0,-7.997509,-0.4526414,7.995615,-0.4056425,0.01600633,-0.7801116,7,
1,0.5399991,0,0,-7.997503,-0.4525385,7.995607,-0.4054732,0.01602999,-0.7795946,7,
1,0.5599991,0,0,-7.997497,-0.4524354,7.9956,-0.4053038,0.01605316,-0.7790797,7,
1,0.5799991,0,0,-7.997491,-0.4523322,7.995593,-0.4051344,0.01607585,-0.7785668,7,
1,0.5999991,0,0,-7.997486,-0.4522289,7.995586,-0.404965,0.01609799,-0.7780559,7,
1,0.6199991,0,0,-7.99748,-0.4521255,7.995579,-0.4047958,0.01611962,-0.7775471,7,
1,0.639999,0,0,-7.997474,-0.4520219,7.995572,-0.4046265,0.0161407,-0.7770403,7,
1,0.659999,0,0,-7.997468,-0.4519182,7.995564,-0.4044572,0.0161612,-0.7765355,7,
1,0.679999,0,0,-7.997463,-0.4518144,7.995557,-0.404288,0.01618114,-0.7760327,7,
1,0.699999,0,0,-7.997457,-0.4517103,7.99555,-0.4041188,0.01620054,-0.7755319,7,
1,0.719999,0,0,-7.997451,-0.4516062,7.995543,-0.4039497,0.01621937,-0.775033,7,
1,0.7399989,0,0,-7.997446,-0.4515019,7.995536,-0.4037805,0.01623769,-0.7745361,7,
1,0.7599989,0,0,-7.99744,-0.4513975,7.995529,-0.4036115,0.01625547,-0.7740412,7,
